0,Fall 2016,MT119,Calculus and Analytical Geometry,3,F,0,0.82,0.82,2
0,Fall 2016,CS118,Programming Fundamentals,3,F,0,0.82,0.82,2
0,Fall 2016,EE182,Basic Electronics,3,F,0,0.82,0.82,2
0,Fall 2016,SS101,English Language,3,A-,3.67,0.82,0.82,2
0,Fall 2016,MT104,Linear Algebra,3,FA,0,0.82,0.82,2
0,Fall 2016,CL118,Programming Fundamentals - Lab,1,F,0,0.82,0.82,2
0,Fall 2016,SL101,English Language Lab,1,B,3,0.82,0.82,2
0,Spring 2017,MT104,Linear Algebra,3,F,0,1,1.5,2
0,Spring 2017,SS122,English Composition,3,B,3,1,1.5,2
0,Spring 2017,CS118,Programming Fundamentals,3,F,0,1,1.5,2
0,Spring 2017,MT119,Calculus and Analytical Geometry,3,D+,1.33,1,1.5,2
0,Spring 2017,CL118,Programming Fundamentals - Lab,1,F,0,1,1.5,2
0,Spring 2017,EE182,Basic Electronics,3,D,1,1,1.5,2
1,Fall 2016,MT104,Linear Algebra,3,B,3,3.27,3.27,0
1,Fall 2016,MT119,Calculus and Analytical Geometry,3,B+,3.33,3.27,3.27,0
1,Fall 2016,CS118,Programming Fundamentals,3,A,4,3.27,3.27,0
1,Fall 2016,CL118,Programming Fundamentals - Lab,1,A+,4,3.27,3.27,0
1,Fall 2016,EE182,Basic Electronics,3,C-,1.67,3.27,3.27,0
1,Fall 2016,SL101,English Language Lab,1,A-,3.67,3.27,3.27,0
1,Fall 2016,SS101,English Language,3,A+,4,3.27,3.27,0
1,Fall 2017,CS201,Data Structures,3,A,4,3.75,3.57,0
1,Spring 2017,EE227,Digital Logic Design,3,A+,4,3.71,3.49,0
1,Spring 2017,SS122,English Composition,3,A,4,3.71,3.49,0
1,Spring 2017,MT224,Differential Equations (Cal II),3,A-,3.67,3.71,3.49,0
1,Spring 2017,SS111,Islamic and Religious Studies,3,B,3,3.71,3.49,0
1,Spring 2017,CS217,Computer Programming,3,A,4,3.71,3.49,0
1,Spring 2017,EL227,Digital Logic Design - Lab,1,B,3,3.71,3.49,0
1,Spring 2017,CL217,Computer Programming Lab,1,A+,4,3.71,3.49,0
2,Fall 2016,CL118,Programming Fundamentals - Lab,1,A+,4,3.73,3.73,0
2,Fall 2016,EE182,Basic Electronics,3,A+,4,3.73,3.73,0
2,Fall 2016,SS101,English Language,3,A-,3.67,3.73,3.73,0
2,Fall 2016,CS118,Programming Fundamentals,3,A+,4,3.73,3.73,0
2,Fall 2016,SL101,English Language Lab,1,B+,3.33,3.73,3.73,0
2,Fall 2016,MT104,Linear Algebra,3,B,3,3.73,3.73,0
2,Fall 2016,MT119,Calculus and Analytical Geometry,3,A,4,3.73,3.73,0
2,Fall 2017,CS201,Data Structures,3,A+,4,3.38,3.57,0
2,Spring 2017,CL217,Computer Programming Lab,1,A+,4,3.59,3.66,0
2,Spring 2017,CS217,Computer Programming,3,A+,4,3.59,3.66,0
2,Spring 2017,MT224,Differential Equations (Cal II),3,A,4,3.59,3.66,0
2,Spring 2017,SS111,Islamic and Religious Studies,3,B+,3.33,3.59,3.66,0
2,Spring 2017,EL227,Digital Logic Design - Lab,1,A,4,3.59,3.66,0
